District,Year,HMIS_SAM_cases,fiscal_year
Vaishali,2021,279.0,2021-22
Supaul,2021,238.0,2021-22
Siwan,2021,0.0,2021-22
Sitamarhi,2021,0.0,2021-22
Sheohar,2021,0.0,2021-22
Sheikhpura,2021,2.0,2021-22
Saran,2021,0.0,2021-22
Samastipur,2021,0.0,2021-22
Saharsa,2021,0.0,2021-22
Rohtas,2021,0.0,2021-22
Purnia,2021,9.0,2021-22
Purbi Champaran,2021,13.0,2021-22
Patna,2021,283.0,2021-22
Pashchim Champaran,2021,0.0,2021-22
Nawada,2021,0.0,2021-22
Nalanda,2021,15.0,2021-22
Muzaffarpur,2021,0.0,2021-22
Munger,2021,74.0,2021-22
Madhubani,2021,0.0,2021-22
Madhepura,2021,180.0,2021-22
Lakhisarai,2021,147.0,2021-22
Kishanganj,2021,221.0,2021-22
Khagaria,2021,12.0,2021-22
Katihar,2021,179.0,2021-22
Kaimur (Bhabua),2021,0.0,2021-22
Jehanabad,2021,0.0,2021-22
Jamui,2021,5.0,2021-22
Gopalganj,2021,26.0,2021-22
Gaya,2021,38.0,2021-22
Darbhanga,2021,77.0,2021-22
Buxar,2021,0.0,2021-22
Bhojpur,2021,2.0,2021-22
Bhagalpur,2021,198.0,2021-22
Begusarai,2021,9.0,2021-22
Banka,2021,19.0,2021-22
Aurangabad,2021,0.0,2021-22
Arwal,2021,47.0,2021-22
Araria,2021,0.0,2021-22
Vaishali,2020,201.0,2020-21
Supaul,2020,0.0,2020-21
Siwan,2020,1.0,2020-21
Sitamarhi,2020,0.0,2020-21
Sheohar,2020,16.0,2020-21
Sheikhpura,2020,0.0,2020-21
Araria,2020,0.0,2020-21
Arwal,2020,88.0,2020-21
Aurangabad,2020,2.0,2020-21
Banka,2020,60.0,2020-21
Begusarai,2020,0.0,2020-21
Bhagalpur,2020,104.0,2020-21
Bhojpur,2020,84.0,2020-21
Buxar,2020,0.0,2020-21
Darbhanga,2020,3.0,2020-21
Gaya,2020,48.0,2020-21
Gopalganj,2020,0.0,2020-21
Jamui,2020,60.0,2020-21
Jehanabad,2020,0.0,2020-21
Kaimur (Bhabua),2020,22.0,2020-21
Katihar,2020,0.0,2020-21
Khagaria,2020,0.0,2020-21
