feature,importance
SpMax_B_m,0.10327097426170687
SpPosA_B_p,0.07336586013218521
SpMax_L,0.06879441312624617
SpMax_A,0.06391037366448062
SM6_B_m,0.06139382780686737
F02_C_N,0.03946326049566858
SM6_L,0.03913510162391596
nN,0.031077141459880355
HyWi_B_m,0.031071161124569636
Mi,0.028173369584891184
nCb_minus,0.02801946924323536
J_Dz_e,0.027699929009759757
nHM,0.02735100799273125
SdssC,0.026917680414654335
TI2_L,0.02676456414377481
LOC,0.026702275589520128
Psi_i_A,0.026372811545140738
nO,0.025419355578924226
F03_C_O,0.02378913849993528
F03_C_N,0.02348487600025609
Me,0.02244824987378398
SdO,0.02226439564720542
C_pct,0.02220392224464539
C_026,0.01915999106777582
F04_C_N,0.01830285518065067
NssssC,0.01580709875377347
Psi_i_1d,0.015799227734312464
nCp,0.015470544954049646
nX,0.011581713884358752
nCIR,0.008150170542905693
nHDon,0.008052197163785264
nArCOOR,0.007420512403003651
nCrt,0.0041922045876252164
B03_C_Cl,0.003029012522189614
nArNO2,0.001328199690309421
F01_N_N,0.0009993118858779109
nN_N,0.0007539930767940595
B01_C_Br,0.00039453863870299836
B04_C_Br,0.00028219216936156943
nCRX3,0.0001050561335247454
N_073,7.80205470204065e-05
